ADD_NUM,LF_NAME,ADDRESS,POSTAL_CD,CITY,X,Y,LONGITUDE,LATITUDE,FAC_NAM,STE_FLR_UN,PERFRMANCE,EXHBVISART,SCRN_BASSE,LIBRARY,MULTIPURP,HERITAGE,OWNERSHIP,OBJECTID
1225,Lake Shore Blvd W,1225 Lake Shore Blvd W,M6K 3C1,Toronto,309950.1680,4832276.3720,-79.43597859400,43.63240795900,Argonaut Rowing Club,,1,0,0,0,1,0,Owned by others,241
1601,Lake Shore Blvd W,1601 Lake Shore Blvd W,M6K 3C1,Toronto,309046.1870,4832753.9800,-79.44718103580,43.63672132390,Palais Royale,,1,0,0,0,1,0,Owned by others,242
75,Lansdowne Ave,75 Lansdowne Ave,,Toronto,309829.4110,4833496.9280,-79.43746725780,43.64340417980,Parkdale Community Recreation Centre,,0,0,0,0,1,0,City operated,244
21,Morrow Ave,21 Morrow Ave,M6R 2H9,Toronto,309094.8510,4834538.1470,-79.44656383380,43.65278086030,Christopher Cutts Gallery,,0,1,0,0,0,0,Owned by others,246
1255,Queen St W,1255 Queen St W,M6K 1L5,Toronto,310366.1850,4833279.7530,-79.43081615250,43.64144575760,Stone's Place,,1,0,0,0,0,0,Owned by others,249
1266,Queen St W,1266 Queen St W,M6K 1L3,Toronto,310461.4140,4833392.0430,-79.42963464210,43.64245584110,Goodfellas Gallery,,0,1,0,0,0,0,Owned by others,250
345,Sorauren Ave,345 Sorauren Ave,M6R 2G5,Toronto,309295.8020,4834170.2100,-79.44407586740,43.64946782180,Gallery 345 (Circuit Gallery),,1,1,0,0,1,0,Owned by others,265
11,Strickland Ave,11 Strickland Ave,M6K 3E6,Toronto,310367.9220,4833468.7400,-79.43079271260,43.64314688010,David Scott Gallery,,0,1,0,0,0,0,Owned by others,266
2213,Dufferin St,2213 Dufferin St,M6E 3S2,Toronto,308976.3280,4838816.2500,-79.44799991800,43.69129015230,Fairbank Memorial Community Centre,,0,0,0,0,1,0,City Owned,268
1745,Eglinton Ave W,1745 Eglinton Ave W,M6E 2H4,Toronto,309036.4950,4839343.9100,-79.44724965580,43.69603932190,Maria A. Shchuka Branch (TPL),,1,0,0,1,1,0,City Operated,271
12,Flemington Rd,12 Flemington Rd,M6A 2N4,Toronto,309219.4880,4841954.0300,-79.44495854480,43.71953287010,Unison Health & Community Services (Lawrence Heights),,0,0,0,0,1,0,Owned by others,272
47,Glenbrook Ave,47 Glenbrook Ave,M6B 2L7,Toronto,308650.7600,4840820.3100,-79.45202470790,43.70933113440,Beth Torah Congregation,,1,0,0,0,1,0,Owned by others,275
901,Lawrence Ave W,901 Lawrence Ave W,M6A 1C3,Toronto,308270.0900,4841229.2030,-79.45674566390,43.71301351560,Columbus Centre (Joseph D. Carrier Art Gallery),,0,1,0,0,0,0,Owned by others,276
901,Lawrence Ave W,901 Lawrence Ave W,M6A 1C3,Toronto,308270.0900,4841229.2030,-79.45674566390,43.71301351560,Multicultural History Society of Ontario,Suite 307,0,1,0,0,0,0,Owned by others,277
247,Marlee Ave,247 Marlee Ave,M6B 4B8,Toronto,309453.9940,4840424.1510,-79.44206128260,43.70576087540,Chalkers Pub Billiards Bistro,,1,0,0,0,0,0,Owned by others,278
1450,Dundas St W,1450 Dundas St W,M6J 1Y6,Toronto,310389.9260,4834208.7240,-79.43051220690,43.64980756590,Jessica Bradley Art Projects,,0,1,0,0,0,0,Owned by others,346
1150,Queen St W,1150 Queen St W,M6J 1J3,Toronto,310865.2440,4833484.4240,-79.42462829800,43.64328445030,"The Drake Hotel (Underground, Public Spaces)",,1,1,0,0,0,0,Owned by others,364
4100,Chesswood Dr,4100 Chesswood Dr,M3J 2B9,Toronto,306565.2840,4846272.2880,-79.47788649490,43.75841366310,Club Viva Dance,Unit 201,1,0,0,0,0,0,Owned by others,98
399,The West Mall,399 The West Mall,M9C 2Y2,Toronto,299503.6250,4833538.9640,-79.56545607520,43.64378060000,Etobicoke Civic Centre,,1,1,0,0,1,1,City Owned,34
23,Buckingham St,23 Buckingham St,M8Y 2W2,Toronto,305131.3710,4830786.1430,-79.49570004290,43.61901923690,New Toronto Studios,,0,0,1,0,0,0,Owned by others,68
1748,St Clair Ave W,1748 St Clair Ave W,M6N 1J3,Toronto,307955.6140,4836933.3720,-79.46067201490,43.67434687280,St. Clair/Silverthorn Branch (TPL),,1,0,0,1,0,0,City operated,323
27,Front St E,27 Front St E,M5E 1B4,Toronto,314850.8710,4833948.0160,-79.37521746190,43.64741387900,"St Lawrence Centre for the Arts (Bluma Appel Theatre, Jane Mallett Theatre)",,1,0,0,0,1,0,City owned,1007
120,Old Colony Rd,120 Old Colony Rd,M2L 2K2,Toronto,314913.9310,4846448.9340,-79.37420169740,43.75993707680,Temple Emanu-El,,0,0,0,0,1,0,Owned by others,827
259,Richmond St W,259 Richmond St W,M5V 3M6,Toronto,313579.0590,4834110.3740,-79.39098017890,43.64889168820,Scotiabank Theatre,,0,0,1,0,0,1,Owned by others,644
212,King St W,212 King St W,M5H 1K5,Toronto,313945.7640,4833977.1670,-79.38643670950,43.64768815070,The Elephant & Castle,,1,0,0,0,0,1,Owned by others,594
1775,Weston Rd,1775 Weston Rd,M9N 3P8,Toronto,303746.9820,4839717.9790,-79.51287144000,43.69941664310,1775 Weston Road (TCHC),,0,0,0,0,1,0,City Operated,144
403,Roncesvalles Ave,403 Roncesvalles Ave,M6R 2N1,Toronto,308766.8980,4834338.7620,-79.45063091970,43.65098780550,Gate 403 Pub and Piano Bar,,1,0,0,0,0,0,Owned by others,264
3049,Dundas St W,3049 Dundas St W,M6P 1Z5,Toronto,307106.6300,4835928.1230,-79.47120499610,43.66530119850,West Toronto Baptist Church,,1,0,0,0,1,0,Owned by others,221
100,Pine St,100 Pine St,M9N 2Y9,Toronto,304024.8520,4840207.6460,-79.50942502650,43.70382489940,Weston Collegiate Institute,,1,0,0,0,1,0,Owned by others,138
2867,Dundas St W,2867 Dundas St W,M6P 1Y9,Toronto,307591.4750,4835915.8220,-79.46519329440,43.66518878500,The Hole in the Wall,A,1,0,0,0,0,0,Owned by others,177
115,Ionview Rd,115 Ionview Rd,M1K 3A1,Toronto,322985.5250,4844205.7160,-79.27403512160,43.73959187520,Iondale Heights United Church,,0,0,0,0,1,0,Owned by others,1314
120,First Ave,120 First Ave,M4M 1X1,Toronto,317061.9640,4836003.2070,-79.34776263470,43.66588021980,St. Anne Parish,,1,0,0,0,1,0,Owned by others,1195
45,Hallcrown Pl,45 Hallcrown Pl,M2J 4Y4,Toronto,319135.4420,4847585.4910,-79.32174424160,43.77009824230,Armenian Community Centre of Toronto,,1,0,0,0,0,0,Owned by others,1251
157,King St E,157 King St E,M5C 1G9,Toronto,315097.0180,4834258.2060,-79.37216041270,43.65020266500,St. Lawrence Hall (Opera Atelier),4th Floor,1,0,0,0,0,1,City Owned,1029
585,Dundas St E,585 Dundas St E,M5A 2B7,Toronto,315919.2880,4835358.4660,-79.36194152200,43.66008591300,ArtHeart Community Art Center,,1,0,0,0,0,0,Owned by others,1082
1541A,Bayview Ave,1541A Bayview Ave,M4G 3B5,Toronto,314885.3870,4840356.1260,-79.37467050680,43.70509398130,State of the Art Gallery,,0,1,0,0,0,0,Owned by others,867
5110,Yonge St,5110 Yonge St,,Toronto,311797.8410,4847351.1490,-79.41288967120,43.76809421740,North York Memorial Hall,,1,0,0,0,1,0,City Owned,795
16,Thorncliffe Park Dr,16 Thorncliffe Park Dr,M4H 1H4,Toronto,317082.5010,4840245.8570,-79.34741128940,43.70406893310,Thorncliffe Park United Church,,1,0,0,0,1,0,Owned by others,854
79,St George St,79 St George St,M5S 2E5,Toronto,313040.6010,4835707.1560,-79.39762983620,43.66327089350,Helen Gardiner Phelan Playhouse,A,1,0,0,0,0,0,Owned by others,690
129,Tecumseth St,129 Tecumseth St,M6J 2H2,Toronto,312392.4840,4833740.2890,-79.40569463800,43.64557415120,Birch Libralato,,0,1,0,0,0,0,Owned by others,488
1197,Dundas St W,1197 Dundas St W,M6J 1X3,Toronto,311048.3140,4834133.4170,-79.42235201400,43.64912477630,The Garrison,,1,0,1,0,0,0,Owned by others,416
477,Manning Ave,477 Manning Ave,M6G 2V8,Toronto,311738.3040,4835240.7010,-79.41378452720,43.65908488040,The Church of St. Mary Magdalene,,1,0,0,0,1,1,Owned by others,425
2,Station Rd,2 Station Rd,M8V 2P9,Toronto,305294.0140,4830116.8870,-79.49368534660,43.61299501310,Wesley Mimico United Church,,1,0,0,0,0,0,Owned by others,85
430,Burnhamthorpe Rd,430 Burnhamthorpe Rd,M9B 2B1,Toronto,299997.3850,4833800.6660,-79.55933826170,43.64613960360,Eatonville Branch (TPL),,1,0,0,1,1,0,City Operated,52
201,Caribou Rd,201 Caribou Rd,M5N 2B5,Toronto,310555.6180,4841743.1750,-79.42837870560,43.71762553490,Church of St. Philip The Apostle,,1,0,0,0,0,0,Owned by others,287
3079,Danforth Ave,3079 Danforth Ave,M1L 1A8,Toronto,321924.7990,4838825.2080,-79.28737538160,43.69118611690,AccessPoint on Danforth (Access Alliance),,0,0,0,0,1,0,Owned by others,1273
4,King St W,4 King St W,M5H 1B6,Toronto,314591.9240,4834153.6700,-79.37842345150,43.64926849240,Galerie Christin,,0,1,0,0,0,1,Owned by others,1037
285,Rushton Rd,285 Rushton Rd,M6C 2X6,Toronto,310616.3620,4837741.2940,-79.42766659540,43.68160335130,Fran Hill Gallery,,1,0,0,0,1,0,Owned by others,726
899,Bloor St W,899 Bloor St W,M6H 1L2,Toronto,310737.0450,4835518.8820,-79.42619471100,43.66159785870,Chemagne Dance Studio,,1,0,0,0,0,0,Owned by others,395
36,Loney Ave,36 Loney Ave,M3L 1E9,Toronto,303447.4250,4842293.0660,-79.51659528610,43.72259609770,Beverly Hills United Church,,1,0,0,0,0,0,Owned by others,92
110,Lombard St,110 Lombard St,M5C 1M3,Toronto,315001.0560,4834512.3010,-79.37334521640,43.65249117610,Gilda's Club Greater Toronto,,0,0,0,0,1,1,Owned by others,1042
60,Simcoe St,60 Simcoe St,M5J 2H5,Toronto,313944.5370,4833868.1900,-79.38645378670,43.64670727180,Roy Thomson Hall,,1,0,0,0,0,1,Owned by others,668
1485,Albion Rd,1485 Albion Rd,M9V 1B2,Toronto,298244.4820,4844151.1850,-79.58119369120,43.73929345490,Albion Pool & Health Club,,0,0,0,0,1,0,City Owned,2
132,Queens Quay E,132 Queens Quay E,M5A 3Y5,Toronto,315422.7230,4833622.2820,-79.36813533230,43.64447383970,The Guvernment,,1,0,0,0,0,0,Owned by others,1075
30,Sewell's Rd,30 Sewell's Rd,M1B 3G5,Toronto,327602.6630,4851883.7890,-79.21638942650,43.80857632780,Malvern Recreation Centre & Library (TPL),,0,0,0,1,1,0,City Owned,1367
680,Queens Quay W,680 Queens Quay W,M5V 2Y9,Toronto,312844.4610,4832590.7090,-79.40010918710,43.63522169720,Arcadia Art Gallery and Co-op,,0,1,0,0,1,0,Owned by others,639
320,College St,320 College St,M5T 1S3,Toronto,312647.3980,4835090.6080,-79.40251450300,43.65772553080,The Free Times Cafe,,1,1,0,0,1,1,Owned by others,557
200,Eglinton Ave W,200 Eglinton Ave W,M4R 1A7,Toronto,312470.9730,4840466.3170,-79.40462625510,43.70611442580,North Toronto Memorial Community Centre,,0,0,0,0,1,0,City Owned,292
2464,Yonge St,2464 Yonge St,M4P 2H5,Toronto,312870.7600,4841030.7800,-79.39965731820,43.71119085420,The Uptown Loft,,1,1,1,0,1,0,Owned by others,306
330,Geary Ave,330 Geary Ave,M6H 2C7,Toronto,309349.2410,4836348.5600,-79.44339448530,43.66907575830,Rehearsal Factory,Studio A,1,0,0,0,0,0,Owned by others,315
344,Westmoreland Ave N,344 Westmoreland Ave N,M6H 3A7,Toronto,310054.9080,4836528.7830,-79.43463886800,43.67068484700,RE:Style Studio,,1,1,0,0,0,0,Owned by others,324
1431,Bathurst St,1431 Bathurst St,M5R 3J2,Toronto,311429.6140,4837796.0630,-79.41757965910,43.68208970650,Wychwood Branch + Library Theatre (TPL),,0,0,0,1,1,0,City Operated,709
978,Queen St W,978 Queen St W,M6J 1H1,Toronto,311405.0870,4833623.7260,-79.41793539760,43.64453403850,Show Gallery,,0,1,0,0,0,0,Owned by others,472
841,Queen St W,841 Queen St W,M6J 1G4,Toronto,312037.6470,4833764.7970,-79.41009290560,43.64579821010,2Q Video,,0,0,1,0,0,0,Owned by others,461
203,Humber College Blvd,203 Humber College Blvd,M9W 6V3,Toronto,296205.9160,4842706.6460,-79.60647601200,43.72626162000,Humber Arboretum Gardens,,0,0,0,0,1,0,City Owned,5
1241,Bloor St W,1241 Bloor St W,M6H 1N6,Toronto,309533.7250,4835177.1150,-79.44111758170,43.65853003370,Holy Oak Cafe,,1,0,0,0,0,0,Owned by others,333
2959,Dundas St W,2959 Dundas St W,M6P 1Z2,Toronto,307374.7500,4835920.1980,-79.46788051100,43.66522897570,Mjolk / Urbanscape Gallery,,0,1,0,0,0,0,Owned by others,180
2968,Dundas St W,2968 Dundas St W,M6P 1Y8,Toronto,307339.5900,4835969.2320,-79.46831622080,43.66567047270,Academy of Realist Art,,0,1,0,0,0,0,Owned by others,181
2988,Dundas St W,2988 Dundas St W,M6P 1Z3,Toronto,307274.6540,4835971.1270,-79.46912137750,43.66568775320,Narwhal Art Projects,,0,1,0,0,0,0,Owned by others,182
3010,Dundas St W,3010 Dundas St W,M6P 1Z3,Toronto,307221.1240,4835980.4350,-79.46978508080,43.66577171480,Bending Spoons Gallery at Vesuvio,,0,1,0,0,0,0,Owned by others,183
3030,Dundas St W,3030 Dundas St W,M6P 1Z3,Toronto,307163.1100,4835987.0170,-79.47050440180,43.66583114920,3030 Dundas St. West,,1,1,1,0,1,0,Owned by others,185
3079,Dundas St W,3079 Dundas St W,M6P 1Z9,Toronto,307022.6230,4835935.5660,-79.47224660710,43.66536844800,Crema Coffee Company,,1,0,0,0,1,0,Owned by others,187
3148,Dundas St W,3148 Dundas St W,M6P 2A1,Toronto,306812.6010,4835976.7720,-79.47485061210,43.66573993720,Telephone Booth Gallery,,0,1,0,0,0,0,Owned by others,189
341,Oakwood Ave,341 Oakwood Ave,M6E 2W1,Toronto,309770.3010,4838293.9030,-79.43815536330,43.68658379410,Oakwood Village Library & Arts Centre Branch (TPL),,1,1,0,1,1,0,City Operated,279
40,Playfair Ave,40 Playfair Ave,M6B 2P9,Toronto,308318.7320,4840951.1850,-79.45614385830,43.71051076260,"Sala Caboto, Villa Columbo",,0,0,0,0,1,0,Owned by others,281
529,Vaughan Rd,529 Vaughan Rd,M6C 2R1,Toronto,309886.8020,4838787.9960,-79.43670607700,43.69103028600,Vaughan Road Academy,,1,0,0,0,1,0,Owned by others,283
169,Viewmount Ave,169 Viewmount Ave,M6B 1T5,Toronto,309842.0420,4840617.8600,-79.43724473140,43.70750172990,Viewmount CC,,0,0,0,0,1,0,City Owned,284
641,Briar Hill Ave,641 Briar Hill Ave,M5N 1N4,Toronto,310836.4340,4840693.7560,-79.42490538810,43.70817695620,Oliver Gordon Gallery,,0,1,0,0,0,0,Owned by others,286
24,Cheritan Ave,24 Cheritan Ave,M4R 1S4,Toronto,312606.2500,4842367.1510,-79.40292046510,43.72322305740,Blessed Sacrament Catholic Church,,1,0,0,0,1,0,Owned by others,289
585,Cranbrooke Ave,585 Cranbrooke Ave,M6A 2X9,Toronto,310454.9410,4842387.7130,-79.42962147690,43.72342791310,Morris Winchevsky Centre,,1,1,0,0,0,0,Owned by others,290
471,Lawrence Ave W,471 Lawrence Ave W,M5M 1C6,Toronto,310635.8470,4841960.4220,-79.42738067580,43.71958036510,Workmen's Circle,,1,0,0,0,1,0,Owned by others,296
35,Lytton Blvd,35 Lytton Blvd,M4R 1L2,Toronto,312603.9850,4841501.3120,-79.40296102180,43.71542914310,Eglinton - St. George's United Church,,1,0,0,0,1,0,Owned by others,297
33,Melrose Ave,33 Melrose Ave,M5M 1Y6,Toronto,312414.4220,4843396.3940,-79.40528676940,43.73248970500,Dewi Sant Welsh United Church,,1,0,0,0,1,0,Owned by others,298
375,Melrose Ave,375 Melrose Ave,M5M 1Z6,Toronto,311256.4670,4843055.0970,-79.41966525880,43.72942866370,Melrose Baptist Church,,1,0,0,0,1,0,Owned by others,299
40,Orchard View Blvd,40 Orchard View Blvd,M4R 1B9,Toronto,312838.1090,4840707.1920,-79.40006729490,43.70827849330,"Northern District, Eglinton Branch (TPL) (Delisle Youth Gallery, Canadian Children's Book Centre)",,1,0,0,1,0,0,City operated,301
2300,Yonge St,2300 Yonge St,M4P 1E4,Toronto,312917.2800,4840583.7110,-79.39908352700,43.70715757400,Indigo Books - Yonge & Eglinton,,1,0,0,0,0,0,Owned by others,304
4190,Yonge St,4190 Yonge St,M2P 1N9,Toronto,312153.7660,4845038.6660,-79.40850005240,43.74727546960,Evangel Temple Church,,1,0,0,0,1,0,Owned by others,309
34,Caledonia Rd,34 Caledonia Rd,M6E 4S4,Toronto,308376.8700,4837131.9520,-79.45544653020,43.67613242190,Casa Das Beira Cultural Community Centre of Toronto,,1,0,0,0,1,0,Owned by others,310
60,Caledonia Rd,60 Caledonia Rd,M6E 4S4,Toronto,308323.1180,4837186.2000,-79.45611284510,43.67662092730,First Portuguese Canadian Club,,1,0,0,0,1,0,Owned by others,311
1695,Dufferin St,1695 Dufferin St,M6E 3N9,Toronto,309383.1960,4837414.9000,-79.44296390340,43.67867400220,St. Chads Anglican Church (Theatre),,1,0,0,0,0,0,Owned by others,314
940,Lansdowne Ave,940 Lansdowne Ave,M6H 3Z4,Toronto,308983.4930,4836359.6810,-79.44792993540,43.66917800680,Lansdowne Studio,#9,1,1,1,0,0,0,Owned by others,316
793,Pharmacy Ave,793 Pharmacy Ave,M1L 3K2,Toronto,321346.7310,4842120.7130,-79.29444492160,43.72086224620,Commercial Studios Limited,,0,0,1,0,0,0,Owned by others,1282
1164,Queen St E,1164 Queen St E,M4M 1L4,Toronto,318286.8620,4835679.4200,-79.33258195450,43.66294450080,Pentimento Fine Art Gallery,,0,1,0,0,0,0,Owned by others,1179
245,Main St,245 Main St,M4C 5T3,Toronto,320893.4770,4838396.9650,-79.30018106470,43.68735404280,Main Square Community Centre,,0,0,0,0,1,0,City Owned,1228
2975,Don Mills Rd W,2975 Don Mills Rd W,M2J 3B7,Toronto,316755.2250,4848881.9210,-79.35128095970,43.78180950810,Oriole Community Centre,,0,0,0,0,1,0,City Owned,1248
30,Booth Ave,30 Booth Ave,M4M 2M2,Toronto,317490.3520,4834727.5520,-79.34248052520,43.65439063960,Cinespace,Suite 100,0,0,1,0,0,0,Owned by others,1135
415,Gerrard St E,415 Gerrard St E,M5A 2H4,Toronto,315905.2550,4835581.3530,-79.36211419670,43.66210105720,Regent Park North Recreation Centre,,1,0,0,0,1,0,City Owned,1024
118,Sherbourne St,118 Sherbourne St,M5A 2R2,Toronto,315305.8460,4834650.1740,-79.36956403580,43.65372796070,Harris Institute for the Arts,,1,0,1,0,1,0,Owned by others,1084
110,Yorkville Ave,110 Yorkville Ave,M5R 1B9,Toronto,313427.5850,4836562.3300,-79.39281838690,43.67096411610,Hollander York Gallery,,0,1,0,0,0,0,Owned by others,974
171,Front St E,171 Front St E,M5A 4H3,Toronto,315394.7800,4834233.3770,-79.36846981440,43.64997492340,St. Lawrence Branch (TPL),,0,0,0,1,0,0,City Operated,1016
80,Gerrard St E,80 Gerrard St E,M5B 1G6,Toronto,314624.9510,4835362.6800,-79.37799241450,43.66015054730,Gallery Arcturus,,0,1,0,0,0,0,Owned by others,917
1700,Finch Ave E,1700 Finch Ave E,M2J 4X8,Toronto,316751.7360,4850224.2740,-79.35129476970,43.79389251940,Seneca Village Community Centre,,0,0,0,0,1,0,City Owned,807
76,Overlea Blvd,76 Overlea Blvd,M4H 1C5,Toronto,317589.1200,4840744.6330,-79.34111355380,43.70854980070,Macedonian Cultural Centre,,1,0,0,0,1,0,Owned by others,845
778,St Clair Ave W,778 St Clair Ave W,M6C 1B6,Toronto,310485.4910,4837698.4550,-79.42929014240,43.68121870590,Zemra,,1,1,0,0,0,0,Owned by others,734
479,Queens Quay W,479 Queens Quay W,,Toronto,313377.4070,4832813.9000,-79.39350069440,43.63722469790,Toronto Music Garden,,1,0,0,0,1,0,City Operated,637
73,Harbord St,73 Harbord St,M5S 1G4,Toronto,312626.3170,4835651.1530,-79.40276737980,43.66277129410,Toronto Women's Bookstore,,0,1,0,0,0,0,Owned by others,576
980,Queen St W,980 Queen St W,M6J 1H1,Toronto,311398.8680,4833634.3230,-79.41801235890,43.64462947640,Paul Petro Contemporary Art,,0,1,0,0,0,0,Owned by others,473
25,Bellevue Ave,25 Bellevue Ave,M5T 2N5,Toronto,312618.1280,4834651.7450,-79.40288401920,43.65377553030,The Kiever Shul,,0,1,0,0,1,0,Owned by others,521
279,Dovercourt Rd,279 Dovercourt Rd,M6J 3C9,Toronto,310900.0570,4834127.6590,-79.42418986770,43.64907411480,Graciosa Community Centre,,0,0,0,0,1,0,Owned by others,405
200,Park Lawn Rd,200 Park Lawn Rd,M8Y 3J1,Toronto,305490.1910,4832042.0610,-79.49125267330,43.63032401630,Humber Bay Branch (TPL),,0,0,0,1,0,0,City Operated,59
25,The West Mall,25 The West Mall,M9C 1B8,Toronto,300166.4160,4830002.9320,-79.55721029570,43.61195567200,Sherway Gardens (Gallery in the Garden),,0,1,0,0,0,0,Owned by others,64
110,Eleventh St,110 Eleventh St,M8V 3G5,Toronto,303998.5530,4828589.3190,-79.50973334830,43.59924489520,New Toronto Branch (TPL),,1,0,0,1,0,0,City Owned,70
300,King St W,300 King St W,M5V 1J2,Toronto,313713.0380,4833906.4120,-79.38932271310,43.64705417720,Princess of Wales Theatre,,1,0,0,0,0,0,Owned by others,596
16,Baby Point Rd,16 Baby Point Rd,M6S 2E9,Toronto,305590.2140,4835169.9190,-79.49000893160,43.65847910600,Humbercrest United Church,,1,0,0,0,1,0,Owned by others,169
5183,Sheppard Ave E,5183 Sheppard Ave E,M1B 5Z5,Toronto,326231.7080,4850335.8630,-79.23349067560,43.79468424840,"Chinese Cultural Centre of Greater Toronto (P.C. Ho Theatre, Hin-Shiu Hung Art Gallery)",,1,1,0,0,0,0,Owned by others,1370
70,Silver Birch Ave,70 Silver Birch Ave,M4E 3K9,Toronto,322104.0590,4836730.5000,-79.28521814000,43.67232698830,St. Aidan's Church,,1,0,0,0,1,1,Owned by others,1241
1,King St W,1 King St W,M5H 1A1,Toronto,314618.3780,4834104.6950,-79.37809639410,43.64882730390,"One King West (Grand Banking Hall, The Vault, Dominion Club)",,1,0,0,0,0,1,Owned by others,1036
454,Parliament St,454 Parliament St,M5A 3A2,Toronto,315431.4290,4835747.5330,-79.36798588740,43.66360362650,House on Parliament,,1,0,0,0,0,0,Owned by others,1063
178,Victoria St,178 Victoria St,M5B 1T7,Toronto,314562.9760,4834659.8980,-79.37877018500,43.65381687600,Massey Hall,,1,0,0,0,0,0,Owned by others,953
487,Church St,487 Church St,M4Y 2C6,Toronto,314426.5670,4835908.9390,-79.38044232700,43.66507024900,Statlers Lounge,,1,0,0,0,0,0,Owned by others,892
